track 1;
0 0.249937 0.501674;
4 0.249937 0.511435;
0 0.249937 0.511435;
10 0.249937 0.525099;
0 0.254095 0.525099;
6 0.254095 0.540715;
0 0.254095 0.540715;
14 0.254095 0.552427;
0 0.258253 0.552427;
0 0.258253 0.566092;
0 0.262411 0.566092;
10 0.262411 0.575852;
0 0.266569 0.575852;
8 0.266569 0.587564;
0 0.274885 0.587564;
8 0.274885 0.599276;
0 0.281122 0.599276;
11 0.281122 0.605132;
0 0.28528 0.605132;
5 0.28528 0.614893;
0 0.287359 0.614893;
8 0.287359 0.622701;
0 0.293596 0.622701;
8 0.293596 0.632461;
0 0.301912 0.632461;
8 0.301912 0.640269;
0 0.308149 0.640269;
10 0.308149 0.650029;
0 0.316465 0.650029;
6 0.316465 0.657838;
0 0.322702 0.657838;
8 0.322702 0.663694;
0 0.333097 0.663694;
11 0.333097 0.673454;
0 0.343492 0.673454;
5 0.343492 0.681262;
0 0.355966 0.681262;
8 0.355966 0.685166;
0 0.362203 0.685166;
8 0.362203 0.691022;
0 0.372598 0.691022;
18 0.372598 0.700782;
0 0.395467 0.700782;
7 0.395467 0.704686;
0 0.405862 0.704686;
7 0.405862 0.708591;
0 0.414178 0.708591;
12 0.414178 0.714447;
0 0.424574 0.714447;
4 0.424574 0.716399;
0 0.437048 0.716399;
10 0.437048 0.718351;
0 0.443285 0.718351;
6 0.443285 0.722255;
0 0.45368 0.722255;
8 0.45368 0.724207;
0 0.466154 0.724207;
8 0.466154 0.728111;
0 0.484865 0.728111;
8 0.484865 0.732015;
0 0.499418 0.732015;
8 0.499418 0.733967;
0 0.513971 0.733967;
9 0.513971 0.735919;
0 0.528524 0.735919;
13 0.528524 0.737871;
0 0.545156 0.737871;
2 0.545156 0.739823;
0 0.559709 0.739823;
8 0.559709 0.741775;
0 0.576341 0.741775;
8 0.576341 0.745679;
0 0.586736 0.745679;
8 0.586736 0.745679;
0 0.59921 0.745679;
8 0.59921 0.745679;
0 0.613763 0.745679;
8 0.613763 0.745679;
0 0.628316 0.745679;
8 0.628316 0.745679;
0 0.634553 0.745679;
10 0.634553 0.745679;
0 0.649106 0.745679;
6 0.649106 0.741775;
0 0.66158 0.741775;
8 0.66158 0.739823;
0 0.669896 0.739823;
8 0.669896 0.735919;
0 0.680291 0.735919;
11 0.680291 0.733967;
0 0.690686 0.733967;
5 0.690686 0.730063;
0 0.705239 0.730063;
9 0.705239 0.726159;
0 0.711476 0.726159;
7 0.711476 0.724207;
0 0.719792 0.724207;
13 0.719792 0.720303;
0 0.726029 0.720303;
3 0.726029 0.716399;
0 0.730187 0.716399;
10 0.730187 0.712495;
0 0.734345 0.712495;
6 0.734345 0.708591;
0 0.740582 0.708591;
13 0.740582 0.704686;
0 0.746819 0.704686;
3 0.746819 0.700782;
0 0.753056 0.700782;
8 0.753056 0.696878;
0 0.759293 0.696878;
8 0.759293 0.692974;
0 0.76553 0.692974;
8 0.76553 0.68907;
0 0.769688 0.68907;
14 0.769688 0.683214;
0 0.775925 0.683214;
0 0.775925 0.67931;
0 0.778004 0.67931;
10 0.778004 0.675406;
0 0.782162 0.675406;
8 0.782162 0.671502;
0 0.784241 0.671502;
9 0.784241 0.665646;
0 0.788399 0.665646;
9 0.788399 0.657838;
0 0.792557 0.657838;
7 0.792557 0.650029;
0 0.796715 0.650029;
8 0.796715 0.644173;
0 0.798794 0.644173;
10 0.798794 0.636365;
0 0.802952 0.636365;
6 0.802952 0.628557;
0 0.805031 0.628557;
8 0.805031 0.618797;
0 0.805031 0.618797;
8 0.805031 0.609037;
0 0.80711 0.609037;
11 0.80711 0.597324;
0 0.80711 0.597324;
5 0.80711 0.585612;
0 0.809189 0.585612;
9 0.809189 0.5739;
0 0.809189 0.5739;
7 0.809189 0.56414;
0 0.811268 0.56414;
12 0.811268 0.556331;
0 0.813347 0.556331;
4 0.813347 0.544619;
0 0.813347 0.544619;
10 0.813347 0.534859;
0 0.813347 0.534859;
6 0.813347 0.523147;
0 0.813347 0.523147;
13 0.813347 0.515339;
0 0.813347 0.515339;
3 0.813347 0.503626;
0 0.813347 0.503626;
8 0.813347 0.491914;
0 0.809189 0.491914;
8 0.809189 0.480202;
0 0.80711 0.480202;
8 0.80711 0.46849;
0 0.800873 0.46849;
8 0.800873 0.454825;
0 0.796715 0.454825;
8 0.796715 0.445065;
0 0.792557 0.445065;
8 0.792557 0.435305;
0 0.790478 0.435305;
8 0.790478 0.425545;
0 0.78632 0.425545;
15 0.78632 0.413833;
0 0.780083 0.413833;
3 0.780083 0.40212;
0 0.775925 0.40212;
6 0.775925 0.39236;
0 0.771767 0.39236;
8 0.771767 0.380648;
0 0.76553 0.380648;
10 0.76553 0.368936;
0 0.755135 0.368936;
5 0.755135 0.355271;
0 0.74474 0.355271;
8 0.74474 0.339655;
0 0.732266 0.339655;
8 0.732266 0.325991;
0 0.719792 0.325991;
12 0.719792 0.314278;
0 0.70316 0.314278;
4 0.70316 0.300614;
0 0.692765 0.300614;
9 0.692765 0.288902;
0 0.680291 0.288902;
